date,actual_cases,predicted_cases
2021-10-04,2665.0,2219.638
2021-10-05,3135.0,2411.747
2021-10-06,2890.0,2914.262
2021-10-07,3077.0,2442.7996
2021-10-08,2942.0,2578.518
2021-10-09,2589.0,2573.0078
2021-10-10,2855.0,2330.0579
2021-10-11,3050.0,3027.1272
2021-10-12,2748.0,2981.6123
2021-10-13,3271.0,2590.2642
2021-10-14,2947.0,2914.262
2021-10-15,3301.0,2843.6545
2021-10-16,3485.0,3260.1697
2021-10-17,3448.0,3087.298
2021-10-18,3806.0,3030.5117
2021-10-19,3317.0,3602.8547
2021-10-20,3648.0,3434.968
2021-10-21,4342.0,2957.0793
2021-10-22,3928.0,4907.1733
2021-10-23,4435.0,3613.8655
2021-10-24,3279.0,4646.736
2021-10-25,3118.0,3429.985
2021-10-26,3225.0,3305.6047
2021-10-27,3801.0,3042.058
2021-10-28,3473.0,3846.4763
2021-10-29,3615.0,3278.8677
2021-10-30,3555.0,3510.695
2021-10-31,3014.0,3526.0027
2021-11-01,3322.0,2911.6362
2021-11-02,2935.0,3109.0664
2021-11-03,3720.0,2986.588
2021-11-04,3115.0,3776.102
2021-11-05,2993.0,3024.0686
2021-11-06,2950.0,3061.6702
2021-11-07,2736.0,2862.2888
2021-11-08,2735.0,3030.2476
2021-11-09,2845.0,2590.2642
2021-11-10,3471.0,3158.693
2021-11-11,4136.0,3030.5117
2021-11-12,3590.0,4525.8306
2021-11-13,4088.0,2963.4548
2021-11-14,3652.0,4583.905
2021-11-15,3343.0,3087.7039
2021-11-16,3194.0,3084.3145
2021-11-17,2993.0,3276.2712
2021-11-18,4924.0,3152.5369
2021-11-19,4358.0,4352.5527
2021-11-20,4231.0,4318.943
2021-11-21,4536.0,4077.3757
2021-11-22,4347.0,4872.7056
2021-11-23,4261.0,4572.507
2021-11-24,4457.0,4654.8013
2021-11-25,5319.0,5035.5728
2021-11-26,5830.0,4325.742
2021-11-27,5079.0,6043.8916
2021-11-28,3716.0,4360.1924
2021-11-29,5089.0,3846.4763
2021-11-30,4653.0,4431.223
2021-12-01,5668.0,4438.0312
2021-12-02,6901.0,3759.0298
2021-12-03,6741.0,5734.8506
2021-12-04,6112.0,6655.9946
2021-12-05,4713.0,5740.702
2021-12-06,6333.0,5024.796
2021-12-07,5987.0,6037.4795
2021-12-08,6988.0,5058.973
2021-12-09,7761.0,6562.744
2021-12-10,9988.0,7491.594
2021-12-11,8537.0,10201.639
2021-12-12,9959.0,7380.921
2021-12-13,11791.0,9418.512
2021-12-14,12832.0,12151.825
2021-12-15,19294.0,11879.871
2021-12-16,23272.0,13590.69
2021-12-17,26608.0,14365.543
2021-12-18,25551.0,14071.1875
2021-12-19,21594.0,14365.543
2021-12-20,22750.0,13942.276
2021-12-21,20491.0,13978.114
2021-12-22,27799.0,14979.14
2021-12-23,26307.0,14979.14
2021-12-24,26342.0,14979.14
2021-12-25,25378.0,14979.14
2021-12-26,22348.0,14979.14
2021-12-27,22224.0,14979.14
2021-12-28,22981.0,14979.14
2021-12-29,22727.0,14979.14
2021-12-30,24320.0,14979.14
2021-12-31,24865.0,14979.14
2022-01-01,27608.0,14979.14
2022-01-02,19951.0,14979.14
2022-01-03,20080.0,14979.14
2022-01-04,21527.0,14979.14
2022-01-05,22558.0,14979.14
2022-01-06,21854.0,14979.14
2022-01-07,21558.0,14979.14
2022-01-08,20853.0,14979.14
2022-01-09,16493.0,14979.14
2022-01-10,15235.0,14015.413
2022-01-11,12309.0,14015.413
2022-01-12,15453.0,14357.017
2022-01-13,13938.0,14015.413
